段落,短语,全片秒,全片帧,阶段,ASR直接匹配
33,自举,938.2333333333333,28147,0.9,False
34,这里必须分清两种结束,948.1666666666666,28445,0.0,True
34,第一种，杆确实倒了，,950.4333333333333,28513,0.07432432432432433,True
34,第二种，只是记录到五,956.5333333333333,28696,0.28378378378378377,True
34,左边两条轨迹分别走向,965.6666666666666,28970,0.5945945945945946,True
34,终止和时间截断看着都,968.4666666666667,29054,0.7027027027027027,True
35,还有一个训练难题：相,978.2,29346,0.0,True
35,杆向右倾的下一刻，往,981.1666666666666,29435,0.1038961038961039,False
35,经验回放把已经发生的,989.0333333333333,29671,0.37662337662337664,True
35,画面把真实轨迹拆成记,996.8333333333334,29905,0.6363636363636364,True
35,它没有增加新经历，只,1001.1666666666666,30035,0.7792207792207793,True
36,第二个难题，是学习目,1008.8,30264,0.0,True
36,今天觉得下一状态值很,1012.7,30381,0.12418300653594772,True
36,我们留一份变化更慢的,1018.1333333333333,30544,0.3202614379084967,True
36,当前网络每更新一次，,1022.2666666666667,30668,0.477124183006536,True
36,青色与金色之间的距离,1027.8666666666666,30836,0.6535947712418301,True
36,目标网络也不是真理，,1032.1333333333334,30964,0.803921568627451,True
37,装回代码,1039.7,31191,0,True
37,实际动作,1041.1666666666667,31235,0.03,True
37,计算奖励,1042.5333333333333,31276,0.25,True
37,比较差距,1044.5333333333333,31336,0.75,True
37,反向传播,1045.5333333333333,31366,0.88,True
37,更新参数,1046.8333333333333,31405,0.97,True
38,办法准备好了，先量量,1076.4,32292,0.0,True
38,随机策略每步抛一次硬,1079.8333333333333,32395,0.1310344827586207,True
38,但一局不足以评价，我,1086.3666666666666,32591,0.3724137931034483,False
38,后面训练过的选手也要,1092.2666666666667,32768,0.593103448275862,True
38,这样比较的就是能否持,1095.6666666666667,32870,0.7310344827586207,True
39,让三个随机种子的网络,1103.7,33111,0.0,True
39,曲线生长时，细线保留,1106.8333333333333,33205,0.11805555555555555,True
39,进步并不总是直线上升,1112.5333333333333,33376,0.3402777777777778,True
39,有时上一局撑得很久，,1117.5,33525,0.5208333333333334,True
39,我们不给某一个落后的,1120.7333333333333,33622,0.6388888888888888,True
39,等练习结束，再把三份,1125.3666666666666,33761,0.8402777777777778,True
40,现在把练习五十回合、,1130.7333333333333,33922,0.0,True
40,杆并没有逐渐变成一根,1136.1666666666667,34085,0.2,False
40,跟着杆顶的轨迹看，偏,1141.0,34230,0.37333333333333335,True
40,好的控制是把变化接住,1146.3,34389,0.54,True
40,每段回放都来自实际状,1151.0333333333333,34531,0.7066666666666667,True
41,独立评估的结果来了。,1160.4,34812,0.0,True
41,三个模型各跑一百回合,1162.3,34869,0.06289308176100629,True
41,五百是环境的记录上限,1168.7666666666667,35063,0.29559748427672955,False
41,两组在这些起点下都到,1172.7666666666667,35183,0.4276729559748428,True
41,下方每个格子对应一局,1177.7666666666667,35333,0.5974842767295597,True
41,与随机策略相比，这个,1181.4333333333334,35443,0.7169811320754716,True
42,把其中一次失败,1190.5,35715,0.8,True
42,前面能接住,1195.0666666666666,35852,0.86,True
42,第二百八十步,1197.2333333333333,35917,0.97,True
42,还是倒下了,1198.2666666666667,35948,1,True
43,为什么这条路线叫深度,1220.4,36612,0.0,True
43,深度网络负责表示动作,1223.6,36708,0.09090909090909091,True
43,在原始 DQN 研究,1229.4666666666667,36884,0.2727272727272727,True
43,看论文的信息流，像素,1235.5666666666666,37067,0.48484848484848486,True
43,我们的平衡杆省掉了图,1240.1333333333334,37204,0.6363636363636364,True
43,两者的任务规模不同，,1244.1666666666667,37325,0.7757575757575758,True
44,最后一份工作,1257.9,37737,0,True
44,青色在第一列,1262.8333333333333,37885,0.12,False
44,别处进攻,1266.6666666666667,38000,0.3,True
44,青色再往第一列,1267.5666666666666,38027,0.65,False
44,就赢了,1269.7,38091,0.85,True
45,先让棋盘,1285.6666666666667,38570,0,True
45,最低空位,1289.7,38691,0.13,True
45,列满了不能再选,1293.7,38811,1,True
46,真实棋盘,1314.9,39447,0,True
46,七根分支,1320.1333333333334,39604,0.15,True
46,选择一条分支,1324.0666666666666,39722,0.35,True
46,全部展开,1333.9333333333334,40018,0.8,True
46,分支上,1341.1,40233,1,True
47,一次蒙特卡洛,1343.1666666666667,40295,0,True
47,选择一条路,1347.4333333333334,40423,0.1,True
47,扩展的位置,1349.0,40470,0.27,True
47,继续模拟,1350.7,40521,0.36,True
47,得到胜负,1351.9,40557,0.7,True
47,回传结果,1353.6333333333334,40609,0.9,True
48,下一次,1370.6666666666667,41120,0,True
48,平均回报最高,1373.0666666666666,41192,0.15,True
48,探索项,1386.4,41592,0.55,True
48,真实记录改变,1390.9,41727,0.85,True
48,方法,1398.4333333333334,41953,1,True
49,走到陌生,1400.4666666666667,42014,0,True
49,继续模拟,1403.5,42105,0.1,True
49,直到某一方,1408.3333333333333,42250,0.85,True
49,连成四子,1409.1,42273,1,True
50,模拟结束,1427.5333333333333,42826,0,True
50,沿着经过,1429.0666666666666,42872,0.12,True
50,访问次数加一,1432.2333333333333,42967,0.3,True
50,按对应玩家更新,1434.1666666666667,43025,0.5,True
50,回传后的计数,1444.1666666666667,43325,0.95,True
51,计算多一些，成绩会怎,1455.3666666666666,43661,0.0,True
51,我们比较每步六十四、,1458.0333333333333,43741,0.06936416184971098,True
51,胜平负分别是 59胜,1465.4666666666667,43964,0.3179190751445087,False
51,这组实验里低预算已经,1473.0,44190,0.49710982658959535,True
51,随机对手相当弱，所以,1478.6333333333334,44359,0.6647398843930635,True
51,我们量到的是特定对手,1486.8666666666666,44606,0.9132947976878613,True
52,回到开头,1490.1,44703,0,True
52,选择第一列,1492.6333333333334,44779,0.1,True
52,堵住青色,1493.9666666666667,44819,0.4,True
52,其他任意一列,1496.7666666666667,44903,0.52,True
52,立刻,1498.7333333333333,44962,0.68,True
52,连成四子,1499.6666666666667,44990,0.95,True
53,会提取信息,1525.7,45771,0,True
53,围棋,1528.9666666666667,45869,0.16,True
53,AlphaGo,1536.3666666666666,46091,0.4,True
53,入口,1549.4,46482,0.88,True
54,第一种帮助,1552.7666666666667,46583,0,True
54,策略网络,1556.3333333333333,46690,0.1,True
54,输出,1557.9666666666667,46739,0.3,True
54,热区,1561.4,46842,0.65,True
54,试算,1576.9333333333334,47308,1,False
55,第二种帮助,1580.6333333333334,47419,0,True
55,整个局面,1586.2666666666667,47588,0.3,True
55,两种不同输出,1591.4666666666667,47744,0.5,True
55,终局,1595.7666666666667,47873,0.7,True
56,放回搜索,1609.4666666666667,48284,0,True
56,策略给候选,1611.9,48357,0.1,True
56,价值和模拟,1613.5,48405,0.4,True
56,回传到根部,1616.7666666666667,48503,0.77,True
57,真实结构图,1639.8666666666666,49196,0.1,True
57,监督学习策略,1643.6666666666667,49310,0.5,True
57,强化学习改进,1647.0666666666666,49412,0.65,True
57,训练价值评估,1648.9666666666667,49469,0.8,True
58,AlphaGo Zero,1667.4,50022,0.05,True
58,同时给出策略,1670.4333333333334,50113,0.12,True
58,搜索得到,1672.5,50175,0.36,True
58,自我对弈,1675.3,50259,0.55,True
58,更新网络,1678.0333333333333,50341,0.8,True
58,循环继续,1682.0333333333333,50461,0.98,True
59,DQN,1699.1666666666667,50975,0.05,True
59,MCTS,1705.0333333333333,51151,0.42,True
59,AlphaGo,1709.4333333333334,51283,0.81,True
60,以后看到一个强大的智,1723.8666666666666,51716,0.0,True
60,输入是什么，动作有哪,1728.9,51867,0.2013888888888889,True
60,这些问题正对应我们刚,1738.0,52140,0.5208333333333334,True
60,同样叫会下棋，随机对,1741.0333333333333,52231,0.6388888888888888,True
60,读懂条件，成绩才有意,1747.0333333333333,52411,0.8472222222222222,True
61,三份工作,1752.2666666666667,52568,0,True
61,整理相册,1755.1666666666667,52655,0.12,True
61,扶稳杆,1760.5,52815,0.44,False
61,下好眼前,1765.7333333333333,52972,0.8,True
62,图片分类器,1785.6333333333334,53569,0.08,True
62,再训练平衡杆,1789.5666666666666,53687,0.4,True
62,四子棋搜索,1794.7666666666667,53843,0.78,True
63,今天我们让机器学着辨,1809.2666666666667,54278,0.0,True
63,还有一份工作没有交给,1813.2666666666667,54398,0.1487603305785124,True
63,一张新图片、一段新声,1819.3333333333333,54580,0.4380165289256198,True
63,下一章就从这件事出发,1823.8,54714,0.6363636363636364,True
63,我们沿着问题继续往前,1829.7333333333333,54892,0.9008264462809917,True
64,沿着图片分类这条线继,1839.1,55173,0.0,True
64,作者把卷积、下采样和,1844.8666666666666,55346,0.272,True
64,页面中的信息流和刚才,1850.3,55509,0.496,True
64,读它时，把注意力放在,1853.6,55608,0.648,True
65,二零一二年的 Ale,1863.6,55908,0.0,False
65,对照真实网络图，可以,1868.4333333333334,56053,0.2773109243697479,True
65,它是理解视觉学习发展,1876.1666666666667,56285,0.6386554621848739,True
66,二零一五年的 DQN,1885.5666666666666,56567,0.0,False
66,我们在平衡杆里拆开的,1890.3666666666666,56711,0.23728813559322035,True
66,再配合 PyTorc,1897.4333333333334,56923,0.576271186440678,True
67,二零一六年的 Alp,1907.3333333333333,57220,0.0,False
67,聚焦这张实际结构图，,1913.7,57411,0.3252032520325203,True
67,人类棋谱、强化学习、,1918.2333333333333,57547,0.5203252032520326,True
67,把这些位置分清，比把,1923.7666666666667,57713,0.7479674796747967,True
68,二零一七年的 Alp,1930.4333333333334,57913,0.0,False
68,两篇论文一起看，能清,1935.7333333333333,58072,0.3106060606060606,True
68,完整论文链接、仓库固,1939.9,58197,0.48484848484848486,True
68,挑一个你最想知道答案,1946.3333333333333,58390,0.7272727272727273,True
